TestA_MT_3
Time
Bot 0,Bot 1,Bot 2,Bot 3,Bot 4,Bot 5,Bot 6,Bot 7,
0.001052,0.000462,0.000464,0.000386,0.000380,0.000318,0.000372,0.000324,
0.000146,0.000150,0.000157,0.000099,0.000098,0.000118,0.000097,0.000098,
0.000212,0.000141,0.000117,0.000098,0.000096,0.000097,0.000098,0.000096,
0.000233,0.000131,0.000112,0.000094,0.000094,0.000158,0.000123,0.000109,
0.000139,0.000097,0.000179,0.000098,0.000092,0.000094,0.000093,0.000093,
0.000157,0.000107,0.000093,0.000093,0.000092,0.000160,0.000143,0.000166,
0.000243,0.000139,0.000102,0.000141,0.000096,0.000098,0.000119,0.000096,
0.000150,0.000096,0.000098,0.000096,0.000095,0.000101,0.000132,0.000174,
0.000462,0.000159,0.000360,0.000098,0.000171,0.000136,0.000203,0.000094,
0.000183,0.000097,0.000097,0.000097,0.000095,0.000102,0.000098,0.000096,
0.000222,0.000097,0.000096,0.000214,0.000137,0.000164,0.000279,0.000356,
0.000276,0.000094,0.000137,0.000116,0.000092,0.000145,0.000119,0.000156,
0.000322,0.000099,0.000101,0.000125,0.000095,0.000096,0.000097,0.000097,
0.000337,0.000097,0.000096,0.000099,0.000096,0.000096,0.000097,0.000097,
0.000238,0.000097,0.000122,0.000094,0.000093,0.000094,0.000094,0.000093,
0.000259,0.000104,0.000099,0.000101,0.000102,0.000116,0.000096,0.000095,
0.000188,0.000096,0.000096,0.000102,0.000097,0.000097,0.000096,0.000096,
0.000168,0.000097,0.000096,0.000099,0.000097,0.000096,0.000097,0.000098,
0.000240,0.000166,0.000099,0.000178,0.000106,0.000129,0.000160,0.000104,
0.000183,0.000147,0.000101,0.000099,0.000112,0.000100,0.000099,0.000122,
0.000311,0.000117,0.000110,0.000095,0.000094,0.000136,0.000179,0.000119,
0.000362,0.000141,0.000100,0.000141,0.000117,0.000119,0.000241,0.000171,
0.000167,0.000111,0.000136,0.000098,0.000096,0.000098,0.000099,0.000096,
0.000311,0.000157,0.000184,0.000098,0.000097,0.000177,0.000137,0.000119,
0.000166,0.000154,0.000169,0.000120,0.000096,0.000141,0.000096,0.000097,
0.000173,0.000109,0.000109,0.000122,0.000093,0.000094,0.000143,0.000147,
0.000316,0.000201,0.000200,0.000291,0.000268,0.000289,0.000246,0.000302,
0.000231,0.000129,0.000110,0.000100,0.000095,0.000096,0.000096,0.000100,
0.000164,0.000108,0.000108,0.000110,0.000093,0.000093,0.000094,0.000116,
0.000192,0.000111,0.000113,0.000128,0.000105,0.000239,0.000103,0.000376,
0.000211,0.000112,0.000155,0.000128,0.000114,0.000115,0.000239,0.000112,
0.000226,0.000116,0.000113,0.000126,0.000097,0.000098,0.000097,0.000098,
0.000339,0.000158,0.000309,0.000117,0.000098,0.000097,0.000160,0.000098,
0.000226,0.000117,0.000113,0.000113,0.000120,0.000096,0.000097,0.000096,
0.000289,0.000134,0.000153,0.000134,0.000116,0.000096,0.000097,0.000098,
0.000312,0.000277,0.000207,0.000206,0.000175,0.000218,0.000215,0.000186,
0.000326,0.000150,0.000219,0.000244,0.000131,0.000135,0.000100,0.000101,
0.000175,0.000111,0.000111,0.000182,0.000279,0.000096,0.000197,0.000132,
0.000247,0.000126,0.000108,0.000165,0.000210,0.000111,0.000136,0.000112,
0.000260,0.000111,0.000139,0.000111,0.000096,0.000098,0.000096,0.000118,
0.000207,0.000158,0.000146,0.000113,0.000139,0.000108,0.000103,0.000096,
0.000275,0.000171,0.000147,0.000163,0.000192,0.000141,0.000127,0.000148,
0.000164,0.000111,0.000112,0.000113,0.000119,0.000097,0.000097,0.000096,
0.000281,0.000158,0.000200,0.000143,0.000243,0.000231,0.000156,0.000201,
0.000186,0.000192,0.000156,0.000115,0.000199,0.000117,0.000095,0.000095,
0.000166,0.000167,0.000340,0.000119,0.000151,0.000132,0.000166,0.000104,
0.000204,0.000108,0.000109,0.000213,0.000149,0.000265,0.000133,0.000149,
0.000166,0.000223,0.000132,0.000191,0.000227,0.000208,0.000113,0.000093,
0.000214,0.000111,0.000116,0.000111,0.000109,0.000112,0.000118,0.000095,
0.000396,0.000240,0.000173,0.000268,0.000193,0.000121,0.000094,0.000092,
0.000332,0.000113,0.000337,0.000114,0.000113,0.000176,0.000097,0.000095,
0.000194,0.000111,0.000160,0.000164,0.000111,0.000158,0.000142,0.000096,
0.000170,0.000115,0.000113,0.000119,0.000111,0.000273,0.000141,0.000252,
0.000280,0.000138,0.000113,0.000114,0.000144,0.000135,0.000123,0.000141,
0.000175,0.000123,0.000222,0.000152,0.000111,0.000193,0.000258,0.000269,
0.000174,0.000249,0.000136,0.000113,0.000170,0.000111,0.000115,0.000118,
0.000281,0.000140,0.000156,0.000171,0.000216,0.000123,0.000119,0.000104,
0.000169,0.000111,0.000112,0.000119,0.000177,0.000110,0.000111,0.000139,
0.000195,0.000111,0.000112,0.000112,0.000203,0.000136,0.000112,0.000113,
0.000228,0.000133,0.000118,0.000153,0.000156,0.000136,0.000112,0.000201,
0.000304,0.000119,0.000182,0.000125,0.000128,0.000231,0.000217,0.000166,
0.000218,0.000151,0.000196,0.000147,0.000148,0.000185,0.000151,0.000158,
0.000286,0.000156,0.000231,0.000323,0.000186,0.000162,0.000159,0.000173,
0.000252,0.000163,0.000201,0.000164,0.000132,0.000253,0.000110,0.000162,
0.000136,0.000109,0.000110,0.000111,0.000180,0.000109,0.000109,0.000283,
0.000416,0.000111,0.000174,0.000139,0.000125,0.000154,0.000110,0.000109,
0.000133,0.000105,0.000106,0.000109,0.000230,0.000123,0.000306,0.000125,
0.000201,0.000130,0.000186,0.000110,0.000109,0.000110,0.000109,0.000147,
0.000132,0.000109,0.000113,0.000110,0.000109,0.000109,0.000111,0.000133,
0.000128,0.000110,0.000109,0.000110,0.000109,0.000111,0.000149,0.000165,
0.000135,0.000158,0.000158,0.000129,0.000160,0.000200,0.000170,0.000127,
0.000246,0.000124,0.000156,0.000124,0.000116,0.000169,0.000115,0.000192,
0.000137,0.000109,0.000128,0.000110,0.000109,0.000110,0.000109,0.000109,
0.000135,0.000111,0.000162,0.000106,0.000194,0.000207,0.000141,0.000173,
0.000128,0.000109,0.000111,0.000109,0.000109,0.000109,0.000109,0.000109,
0.000125,0.000111,0.000109,0.000110,0.000109,0.000110,0.000109,0.000109,
0.000126,0.000109,0.000109,0.000111,0.000112,0.000109,0.000109,0.000109,
0.000124,0.000109,0.000111,0.000110,0.000109,0.000109,0.000110,0.000108,
0.000134,0.000109,0.000162,0.000167,0.000126,0.000111,0.000109,0.000108,
0.000222,0.000151,0.000196,0.000222,0.000209,0.000150,0.000166,0.000109,
0.000130,0.000106,0.000106,0.000106,0.000105,0.000109,0.000106,0.000105,
0.000124,0.000111,0.000109,0.000110,0.000109,0.000110,0.000109,0.000109,
