TestA_ST_6
Time
Bot 0,Bot 1,Bot 2,Bot 3,Bot 4,Bot 5,Bot 6,Bot 7,
0.140566,0.170893,0.051327,0.130275,0.164270,0.049111,0.124662,0.162579,
0.000151,0.000109,0.000109,0.000166,0.000262,0.000109,0.000123,0.000112,
0.000167,0.000133,0.000216,0.000189,0.000109,0.000110,0.000111,0.000149,
0.000205,0.000113,0.000114,0.000175,0.000137,0.000233,0.000182,0.000155,
0.000357,0.000158,0.000173,0.000111,0.000157,0.000179,0.000178,0.000168,
0.000237,0.000124,0.000166,0.000179,0.000189,0.000237,0.000178,0.000176,
0.000177,0.000177,0.000191,0.000203,0.000109,0.000109,0.000183,0.000109,
0.000165,0.000114,0.000111,0.000195,0.000109,0.000110,0.000132,0.000170,
0.000190,0.000153,0.000111,0.000111,0.000156,0.000130,0.000177,0.000160,
0.000190,0.000110,0.000111,0.000112,0.000110,0.000110,0.000110,0.000110,
0.000285,0.000114,0.000159,0.000151,0.000205,0.000196,0.000156,0.000164,
0.000171,0.000113,0.000117,0.000114,0.000113,0.000114,0.000162,0.000113,
0.000223,0.000192,0.000125,0.000141,0.000156,0.000152,0.000153,0.000160,
0.000198,0.000165,0.000136,0.000170,0.000133,0.000142,0.000152,0.000198,
0.000172,0.000120,0.000208,0.000187,0.000290,0.000167,0.000120,0.000113,
0.000245,0.000166,0.000238,0.000281,0.000109,0.000109,0.000130,0.000201,
0.000182,0.000113,0.000128,0.000155,0.000111,0.000194,0.000111,0.000111,
0.000267,0.000114,0.000176,0.000131,0.000110,0.000172,0.000170,0.000109,
0.000213,0.000147,0.000155,0.000111,0.000151,0.000181,0.000225,0.000167,
0.000268,0.000201,0.000113,0.000183,0.000243,0.000218,0.000211,0.000222,
0.000254,0.000173,0.000113,0.000111,0.000110,0.000111,0.000110,0.000109,
0.000311,0.000114,0.000213,0.000125,0.000121,0.000167,0.000152,0.000110,
0.000189,0.000151,0.000154,0.000136,0.000146,0.000130,0.000114,0.000110,
0.000169,0.000113,0.000116,0.000114,0.000113,0.000113,0.000115,0.000114,
0.000211,0.000110,0.000110,0.000112,0.000112,0.000110,0.000110,0.000148,
0.000247,0.000170,0.000151,0.000133,0.000173,0.000129,0.000111,0.000111,
0.000217,0.000209,0.000138,0.000150,0.000109,0.000287,0.000151,0.000109,
0.000175,0.000109,0.000110,0.000110,0.000111,0.000112,0.000151,0.000116,
0.000253,0.000177,0.000137,0.000177,0.000141,0.000175,0.000126,0.000156,
0.000171,0.000114,0.000114,0.000116,0.000188,0.000115,0.000117,0.000125,
0.000210,0.000111,0.000113,0.000155,0.000263,0.000151,0.000127,0.000172,
0.000165,0.000113,0.000133,0.000111,0.000152,0.000189,0.000134,0.000159,
0.000166,0.000156,0.000129,0.000111,0.000134,0.000152,0.000139,0.000132,
0.000339,0.000210,0.000244,0.000201,0.000188,0.000191,0.000288,0.000130,
0.000176,0.000152,0.000111,0.000111,0.000210,0.000166,0.000271,0.000214,
0.000207,0.000110,0.000236,0.000170,0.000109,0.000129,0.000111,0.000200,
0.000211,0.000113,0.000115,0.000115,0.000113,0.000116,0.000113,0.000114,
0.000329,0.000160,0.000148,0.000152,0.000159,0.000135,0.000135,0.000128,
0.000168,0.000110,0.000112,0.000166,0.000175,0.000154,0.000111,0.000111,
0.000171,0.000109,0.000132,0.000111,0.000196,0.000132,0.000110,0.000109,
0.000168,0.000178,0.000111,0.000111,0.000110,0.000199,0.000173,0.000217,
0.000211,0.000176,0.000197,0.000154,0.000114,0.000165,0.000162,0.000114,
0.000385,0.000236,0.000200,0.000173,0.000110,0.000114,0.000110,0.000109,
0.000196,0.000199,0.000146,0.000136,0.000179,0.000157,0.000169,0.000165,
0.000208,0.000113,0.000114,0.000114,0.000163,0.000113,0.000115,0.000127,
0.000245,0.000161,0.000156,0.000200,0.000131,0.000240,0.000269,0.000241,
0.000267,0.000162,0.000172,0.000120,0.000120,0.000121,0.000124,0.000123,
0.000166,0.000112,0.000111,0.000111,0.000110,0.000111,0.000110,0.000109,
0.000160,0.000110,0.000111,0.000111,0.000117,0.000120,0.000111,0.000110,
0.000201,0.000109,0.000110,0.000180,0.000159,0.000154,0.000113,0.000111,
0.000160,0.000110,0.000112,0.000115,0.000134,0.000110,0.000111,0.000110,
0.000213,0.000154,0.000155,0.000134,0.000170,0.000132,0.000113,0.000149,
0.000462,0.000215,0.000168,0.000185,0.000218,0.000143,0.000154,0.000198,
0.000288,0.000110,0.000202,0.000204,0.000185,0.000156,0.000166,0.000201,
0.000174,0.000111,0.000153,0.000228,0.000182,0.000112,0.000111,0.000211,
