TestA_ST_9
Time
Bot 0,Bot 1,Bot 2,Bot 3,Bot 4,Bot 5,Bot 6,Bot 7,
0.140430,0.171143,0.049415,0.133690,0.170777,0.054055,0.136071,0.170515,
0.000132,0.000148,0.000110,0.000120,0.000110,0.000109,0.000119,0.000109,
0.000304,0.000109,0.000162,0.000107,0.000105,0.000141,0.000107,0.000166,
0.000172,0.000107,0.000109,0.000109,0.000107,0.000336,0.000204,0.000265,
0.000302,0.000121,0.000121,0.000341,0.000357,0.000108,0.000113,0.000107,
0.000277,0.000131,0.000224,0.000169,0.000373,0.000113,0.000217,0.000158,
0.000193,0.000111,0.000112,0.000113,0.000115,0.000111,0.000112,0.000112,
0.000316,0.000133,0.000181,0.000218,0.000219,0.000154,0.000148,0.000154,
0.000292,0.000189,0.000166,0.000162,0.000215,0.000162,0.000196,0.000137,
0.000214,0.000155,0.000135,0.000133,0.000267,0.000107,0.000106,0.000202,
0.000392,0.000114,0.000204,0.000161,0.000117,0.000117,0.000141,0.000143,
0.000211,0.000125,0.000170,0.000154,0.000126,0.000144,0.000207,0.000106,
0.000182,0.000110,0.000112,0.000116,0.000113,0.000167,0.000111,0.000111,
0.000263,0.000161,0.000132,0.000212,0.000143,0.000141,0.000106,0.000105,
0.000227,0.000107,0.000107,0.000152,0.000143,0.000107,0.000107,0.000105,
0.000256,0.000169,0.000187,0.000109,0.000153,0.000162,0.000232,0.000139,
0.000195,0.000179,0.000107,0.000279,0.000144,0.000149,0.000295,0.000107,
0.000169,0.000107,0.000107,0.000234,0.000107,0.000127,0.000107,0.000107,
0.000164,0.000107,0.000112,0.000113,0.000109,0.000149,0.000250,0.000159,
0.000328,0.000109,0.000108,0.000147,0.000105,0.000108,0.000106,0.000142,
0.000271,0.000109,0.000232,0.000173,0.000196,0.000164,0.000247,0.000106,
0.000167,0.000107,0.000109,0.000110,0.000148,0.000107,0.000108,0.000164,
0.000236,0.000107,0.000218,0.000109,0.000146,0.000107,0.000108,0.000106,
0.000176,0.000108,0.000108,0.000229,0.000166,0.000124,0.000108,0.000105,
0.000290,0.000109,0.000205,0.000168,0.000202,0.000179,0.000148,0.000106,
0.000274,0.000284,0.000183,0.000227,0.000169,0.000242,0.000218,0.000183,
0.000326,0.000137,0.000124,0.000128,0.000113,0.000152,0.000110,0.000110,
0.000300,0.000111,0.000156,0.000112,0.000110,0.000112,0.000110,0.000109,
0.000203,0.000205,0.000108,0.000155,0.000198,0.000175,0.000143,0.000106,
0.000306,0.000108,0.000109,0.000212,0.000141,0.000147,0.000107,0.000123,
0.000169,0.000107,0.000122,0.000112,0.000107,0.000107,0.000135,0.000107,
0.000372,0.000152,0.000145,0.000130,0.000258,0.000111,0.000111,0.000110,
0.000330,0.000126,0.000109,0.000130,0.000246,0.000124,0.000209,0.000159,
0.000169,0.000107,0.000109,0.000111,0.000107,0.000107,0.000107,0.000107,
0.000166,0.000107,0.000107,0.000192,0.000149,0.000109,0.000107,0.000105,
0.000168,0.000107,0.000107,0.000179,0.000186,0.000168,0.000145,0.000145,
0.000277,0.000109,0.000173,0.000109,0.000167,0.000126,0.000107,0.000123,
0.000285,0.000203,0.000200,0.000143,0.000144,0.000130,0.000148,0.000105,
0.000242,0.000107,0.000191,0.000127,0.000106,0.000185,0.000123,0.000106,
0.000248,0.000107,0.000108,0.000108,0.000106,0.000106,0.000183,0.000192,
0.000263,0.000231,0.000154,0.000233,0.000128,0.000156,0.000194,0.000158,
0.000180,0.000106,0.000143,0.000108,0.000141,0.000110,0.000158,0.000109,
0.000195,0.000110,0.000110,0.000111,0.000110,0.000111,0.000114,0.000110,
0.000353,0.000196,0.000139,0.000201,0.000121,0.000235,0.000147,0.000154,
0.000297,0.000136,0.000115,0.000157,0.000195,0.000120,0.000116,0.000160,
0.000210,0.000162,0.000108,0.000109,0.000108,0.000106,0.000107,0.000231,
0.000230,0.000107,0.000124,0.000108,0.000107,0.000107,0.000148,0.000106,
0.000169,0.000107,0.000107,0.000108,0.000116,0.000108,0.000107,0.000107,
0.000208,0.000124,0.000119,0.000102,0.000126,0.000181,0.000101,0.000102,
0.000265,0.000147,0.000111,0.000111,0.000106,0.000106,0.000106,0.000106,
0.000185,0.000107,0.000107,0.000107,0.000108,0.000108,0.000107,0.000106,
0.000221,0.000113,0.000111,0.000114,0.000149,0.000110,0.000111,0.000111,
0.000192,0.000113,0.000201,0.000107,0.000109,0.000107,0.000107,0.000107,
0.000273,0.000112,0.000161,0.000113,0.000127,0.000130,0.000190,0.000108,
0.000246,0.000114,0.000113,0.000109,0.000107,0.000111,0.000107,0.000106,
0.000125,0.000109,0.000109,0.000111,0.000117,0.000109,0.000109,0.000155,
0.000290,0.000130,0.000178,0.000219,0.000131,0.000186,0.000150,0.000183,
0.000264,0.000137,0.000165,0.000118,0.000130,0.000112,0.000110,0.000109,
0.000216,0.000155,0.000126,0.000109,0.000214,0.000130,0.000109,0.000108,
0.000173,0.000107,0.000113,0.000224,0.000110,0.000109,0.000260,0.000126,
0.000175,0.000129,0.000108,0.000107,0.000149,0.000106,0.000109,0.000224,
0.000269,0.000148,0.000166,0.000186,0.000188,0.000269,0.000218,0.000222,
0.000194,0.000118,0.000128,0.000135,0.000141,0.000144,0.000154,0.000128,
0.000138,0.000118,0.000127,0.000111,0.000136,0.000147,0.000110,0.000109,
0.000126,0.000111,0.000109,0.000110,0.000109,0.000110,0.000109,0.000129,
0.000255,0.000170,0.000207,0.000202,0.000107,0.000189,0.000196,0.000107,
0.000139,0.000106,0.000106,0.000107,0.000105,0.000143,0.000107,0.000105,
0.000206,0.000122,0.000134,0.000155,0.000158,0.000188,0.000111,0.000109,
0.000230,0.000185,0.000246,0.000114,0.000111,0.000110,0.000115,0.000156,
0.000126,0.000111,0.000110,0.000109,0.000132,0.000184,0.000199,0.000144,
